Simple site,Unnamed: 0,Avg. Flood Depth when Flooded (ft),90th Percentile Flood Depth when Flooded (ft),10th Percentile Flood Depth when Flooded (ft),Std. Deviation Flood Depth when Flooded 
CRMS0465,17.0,0.161675283997429,0.3800000000002698,0.0,0.2299690562976303
CRMS0479,18.0,0.5495912236119709,1.3699999999983956,0.0,0.5689776001460142
CRMS0482,19.0,0.5218716925746638,1.4480000000019468,0.0,0.6564547338042639
CRMS0488,20.0,0.3400046751583657,0.7920000000010539,0.0,0.3633862412165108
CRMS0489,21.0,0.121998279045027,0.4610000000010484,0.0,0.3078574715904073
CRMS0490,22.0,0.71065863515867,1.214000000004024,0.3110000000007731,0.402215858361727
CRMS0493,23.0,0.0689634266304584,0.25,0.0,0.2231445490697194
CRMS0494,24.0,0.2018611184261458,0.5409999999988201,0.0,0.3277975043814612
CRMS0496,25.0,0.1847879856000932,0.6380000000003376,0.0,0.3586914260399395
CRMS0498,26.0,0.3564018514387646,0.5999999999990662,0.0500000000000841,0.3926330372697639
CRMS0499,27.0,0.2342158845922673,0.6999999999983743,0.0,0.3452208163291173
CRMS0501,28.0,0.3324132480328822,0.9070000000024884,0.0,0.4230560654084023
CRMS0504,29.0,0.4238648070363784,0.937999999997905,0.0,0.3842155625679953
CRMS0507,30.0,0.3635550428736748,0.9470000000001134,0.0,0.4187232997081542
CRMS0508,31.0,0.3085702742162806,0.766499999998899,0.0,0.3692107320213479
CRMS0511,32.0,0.434379083873331,1.1359999999987993,0.0,0.5960504915407726
CRMS0513,33.0,0.7683001775169439,1.2859999999954683,0.1500000000001003,0.4401597246993518
CRMS0514,34.0,0.038501158774209,0.0300000000000873,0.0,0.174230241864595
CRMS0517,35.0,0.0820923641091952,0.3000000000001784,0.0,0.2583946782832078
CRMS0520,36.0,0.0883300201832529,0.3300000000010251,0.0,0.2518897113579027
CRMS0522,18.5,0.27620107278682426,0.7514999999997914,0.0,0.36527278747574876
CRMS0523,1.0,0.113530872708633,0.4440000000008818,0.0,0.2634856398620025
CRMS0524,2.0,0.151071237514508,0.4100000000007817,0.0,0.2586308779319305
CRMS0527,3.0,0.1606447855920526,0.5999999999996072,0.0,0.3407240870734738
CRMS0529,4.0,0.2540768885185944,0.5120000000009222,0.0,0.2857321081141248
CRMS0530,5.0,0.2048286552482903,0.5699999999997891,0.0,0.3230034013800408
CRMS0531,6.0,0.080630853048003,0.2989999999996804,0.0,0.2426428630305491
CRMS0532,7.0,0.0796328640512565,0.2700000000001296,0.0,0.2652796776676272
CRMS0535,8.0,0.1307271323523285,0.4800000000011608,0.0,0.2780884941974323
CRMS0536,9.0,0.575309997829899,1.089000000003699,0.0399999999999682,0.424180802561609
CRMS0541,10.0,0.0496533455529222,0.1200000000002617,0.0,0.1834671678735268
CRMS0542,11.0,0.1654133283414501,0.380000000000184,0.0,0.2170082948966846
CRMS0543,12.0,0.056838642664455,0.1699999999995597,0.0,0.2179105252035276
CRMS0544,13.0,0.2327206523407549,0.7400000000012255,0.0,0.3676422696419686
CRMS0545,14.0,0.2093317700085256,0.69999999999831,0.0,0.3689646442872252
CRMS0547,15.0,0.1986701734432766,0.6549999999991306,0.0,0.3455031864366195
CRMS0549,16.0,0.0977311407695109,0.3799999999994755,0.0,0.2654247307809378
CRMS0550,17.0,0.1160951283867413,0.4590000000009251,0.0,0.2609337493956575
CRMS0551,18.0,0.060997109644989,0.220000000000316,0.0,0.1921629017973121
CRMS0552,19.0,0.3316647193508223,1.0230000000008608,0.0,0.4901429343518559
CRMS0553,20.0,0.7608672023632487,1.4090000000033462,0.1399999999997584,0.5170844498334959
CRMS0554,21.0,0.4803567020410682,1.23299999999828,0.0,0.541193336706464
CRMS0556,22.0,0.8258198415379228,1.5920000000024388,0.0,0.6156653656015307
CRMS0557,23.0,0.5360784079089131,0.9670000000007324,0.0399999999999689,0.3841466043595596
CRMS0560,24.0,1.0092010803500229,1.7490000000035792,0.0,0.604212311422887
CRMS0562,25.0,0.5954520142377022,1.32000000000399,0.0,0.5339183019608666
CRMS0565,26.0,0.7533894279566457,1.2980000000002272,0.0,0.4842118700685769
CRMS0567,27.0,0.8598032881883583,1.5700000000044785,0.1599999999998737,0.5236957124525791
CRMS0568,28.0,0.5760317625317564,1.2939999999977398,0.0,0.5239204719819496
CRMS0570,29.0,1.369146142083742,2.141000000002806,0.6100000000005015,0.6102095346562355
CRMS0571,30.0,0.4850105670286442,0.9299999999970576,0.0579999999999929,0.3527718260786051
CRMS0572,31.0,0.7322141600632757,1.2599999999995763,0.2350000000003781,0.4263227591218327
CRMS0574,32.0,0.637336581825304,1.3720000000023538,0.0199999999999841,0.5446728651312991
CRMS0575,33.0,0.9471749382291624,1.5840000000020629,0.0500000000001101,0.5630837278748951
CRMS0576,34.0,0.407720397256111,0.883000000001356,0.0,0.3730515556962826
CRMS0580,35.0,0.2704411355885667,0.7700000000003017,0.0,0.3681299151429167
CRMS0581,36.0,0.4025986182473061,0.894000000000221,0.0,0.3792657095709465
CRMS0583,37.0,0.2722544737147512,0.8120000000016647,0.0,0.416787404232179
CRMS0584,38.0,0.2588832317672517,0.7880000000004075,0.0,0.4064078155284929
CRMS0587,39.0,0.5062098169069037,1.062000000002198,0.0,0.4733328972599853
CRMS0588,40.0,0.392992666496871,0.9600000000021084,0.0,0.4352202949443128
CRMS0589,20.5,0.3611165418070778,0.7795000000004553,0.0134999999999964,0.349274888988259
CRMS0590,1.0,0.7974396916809754,1.5810000000035145,0.1699999999995342,0.5695844264118706
CRMS0593,2.0,0.7257668636080002,1.5039999999965012,0.0,0.6177561818126603
CRMS0595,3.0,0.5516548337447871,1.320000000004241,0.0,0.5737310597748299
CRMS0599,4.0,0.3821371237717328,0.9100000000024804,0.0,0.4322213017132866
CRMS0600,5.0,0.1103997229478386,0.3810000000007267,0.0,0.2772048214569736
CRMS0603,6.0,0.5804101276303264,1.2999999999991445,0.0,0.544583755998136
CRMS0604,7.0,0.6341785062468154,1.380000000002499,0.0,0.5628849230914469
CRMS0605,8.0,0.4247664340216858,1.0399999999976828,0.0,0.4780823075634488
CRMS0608,9.0,0.4492733673622683,1.0859999999995746,0.0,0.4684177450196147
CRMS0609,10.0,0.2459565577048939,0.6900000000010764,0.0,0.3306339663686231
CRMS0610,11.0,0.4744390818723401,0.8049999999976081,0.0789999999998637,0.4663837254392535
